ID_REF	GSM484477	GSM484478	GSM484452	GSM484473	GSM484475	GSM484459	GSM484483	GSM484489	GSM484462	GSM484458	GSM484481	GSM484455	GSM484485	GSM484472	GSM484448	GSM484468	GSM484484	GSM484460	GSM484464	GSM484451	GSM484466	GSM484480	GSM484471	GSM484450	GSM484469	GSM484470	GSM484457	GSM484488	GSM484487	GSM484456	GSM484463	GSM484449	GSM484476	GSM484454	GSM484486	GSM484474	GSM484461	GSM484482	GSM484465	GSM484467	GSM484453	GSM484479
ILMN_2383058	46.512840000000004	27.30992	43.27197	39.90039	12.37155	3.5275489999999996	38.38536	34.6089	29.788290000000003	29.16759	43.44038	49.94773	17.56685	7.617711	35.420159999999996	20.60367	43.062740000000005	14.974260000000001	35.61649	23.282420000000002	30.09092	22.00129	29.229190000000003	43.61235	12.36886	35.03302	59.22549	29.91184	45.79883	13.36447	13.42716	7.910599	20.9572	32.29595	18.44601	14.87672	69.66373	42.49937	59.90878000000001	32.25564	33.85005	51.40852
ILMN_1766896	15.542910000000001	53.375319999999995	10.01486	27.74292	59.306090000000005	82.36706	4.629862999999999	13.1207	10.97674	-1.923075	4.194451	18.958579999999998	46.540859999999995	88.67274	2.341868	33.89584	19.26221	22.456229999999998	25.24182	48.14906	11.96214	12.63852	18.453979999999998	0.9510865	4.149268	11.49155	7.0593259999999995	16.01612	16.96722	222.8417	13.968960000000001	21.84658	16.19776	9.342410000000001	17.80242	46.58443	5.182866000000001	22.74812	0.36476929999999996	14.93666	-0.1882395	12.16235
ILMN_1710937	1929.6660000000002	1007.414	564.9178	638.062	1077.897	1283.0410000000002	649.0767	654.119	694.8804	485.5337	542.5016	907.8894	1258.64	1536.0	621.5066	1606.894	771.9966	570.6993	888.0748	1317.605	724.7192	629.3957	820.9478	548.1918	566.9956	752.9789	646.6251	502.8508	485.3068	1556.986	1506.3220000000001	1575.2079999999999	1068.1580000000001	695.4589	1058.317	1427.101	880.4781	909.0677	675.6656	438.8702	534.2161	602.6928
ILMN_2092850	87.57369	67.27825	18.65977	29.4724	159.0508	117.0274	40.101620000000004	37.35603	44.43104	24.60117	26.969079999999998	34.48174	144.2442	267.3571	57.47015	71.2205	45.3866	35.18573	66.56326	134.6739	40.0737	64.77299000000001	55.72815	30.23155	53.1479	54.38476	43.94236	34.49905	12.59491	148.7561	69.96828000000001	188.6663	53.668209999999995	86.33134	93.34611	105.2906	20.91926	44.88754	16.10246	39.05017	27.79842	27.31658
ILMN_2388547	5114.458	1352.8029999999999	530.3079	656.1208	1790.1870000000001	4226.2570000000005	392.8558	224.1717	337.1896	233.878	344.2913	1444.029	2227.542	4887.343	290.8569	3795.539	872.0217	356.4548	563.3239	2641.562	1072.078	180.8669	233.4029	296.1614	398.5224	516.8788	649.864	405.0812	245.8687	2304.0	4144.226	3670.3790000000004	1008.518	283.4507	624.0547	3476.465	2900.7259999999997	585.7125	359.6249	547.9993	492.3586	522.9766
ILMN_1696419	262.8086	115.8657	216.3841	118.5349	238.954	293.9219	96.66847	122.0755	138.3086	160.624	85.79025	220.1853	387.6203	392.4232	174.7571	209.4703	151.66299999999998	156.1586	131.7225	344.6721	147.8858	101.8099	137.7127	117.0224	133.0702	202.209	106.5323	127.9732	121.9305	300.2924	292.556	363.7457	191.4405	202.696	130.8557	175.0001	133.754	134.9673	100.0525	153.463	61.20547	126.1114
ILMN_1708881	9.273297999999999	21.565720000000002	6.5565	15.338470000000001	30.79751	33.67644	25.46634	19.38491	6.088998999999999	2.37281	15.306579999999999	14.195470000000002	24.87698	88.32109	23.11996	18.33466	13.86384	16.3742	27.31798	52.49621	26.76742	25.74694	11.11697	-3.7507230000000003	10.46377	13.87093	11.61283	13.93118	10.12986	40.813320000000004	40.314440000000005	67.00636	8.020804	11.29553	19.50168	44.06964	7.217517	13.916479999999998	19.38141	9.712451	17.048	3.1514349999999998
ILMN_1745374	783.6493	286.163	224.5869	151.8215	439.9131	829.5103	218.9843	153.3122	198.3072	143.3052	203.9525	372.2176	574.2111	1064.234	170.7261	638.1464	212.8496	180.293	298.8429	636.5593	246.9307	136.2596	165.5743	186.0324	211.3518	293.7059	257.8645	213.02599999999998	179.3445	651.2375	767.1171	766.4106	329.028	212.1405	287.3695	643.7487	365.3856	167.9595	292.3893	216.9618	270.4928	179.6986
ILMN_1799467	797.9315	271.1203	162.8678	123.0975	359.2024	749.443	200.3207	74.66736999999999	141.3257	114.9766	119.8121	244.4822	446.5566	686.0295	81.44429000000001	484.6712	179.5012	154.0479	134.1062	475.3106	253.9381	95.41994	147.083	130.3885	131.8643	143.1072	168.6191	117.791	57.74548000000001	808.3265	731.1931	617.4761	266.7615	138.0359	252.5229	530.1387	277.1105	178.6921	182.3925	116.7086	189.2894	158.2981
ILMN_1691731	832.3619	387.0587	271.2424	172.5406	389.8543	843.4822	269.6856	174.0656	180.6144	156.4941	192.1643	399.3802	485.912	689.8916	146.2275	374.9812	291.6682	191.5577	226.368	600.832	325.7373	138.6099	164.3111	182.4892	200.9685	208.4813	263.2553	179.571	154.2446	519.3882	703.3687	624.6918	314.9782	216.6118	269.7344	761.206	322.7087	233.438	188.9413	175.6879	291.9149	225.1095
